Date,State,TotalSamples,Negative,Positive
04-05-2020,Arunachal Pradesh,869,762,2
02-04-2020,Assam,962,819,16
10-04-2020,Assam,2863,2685,29
11-04-2020,Assam,3011,2842,29
12-04-2020,Assam,3138,2973,29
14-04-2020,Assam,3491,3267,31
15-04-2020,Assam,3613,3492,32
16-04-2020,Assam,4108,3803,34
17-04-2020,Assam,4236,4024,34
18-04-2020,Assam,4400,4199,34
19-04-2020,Assam,4865,4584,34
20-04-2020,Assam,5112,4937,34
21-04-2020,Assam,5514,5245,34
24-04-2020,Assam,6680,6391,35
25-04-2020,Assam,7159,6781,35
26-04-2020,Assam,7823,7474,35
27-04-2020,Assam,8117,7985,35
29-04-2020,Assam,9520,8771,37
02-05-2020,Assam,11623,10499,42
04-05-2020,Assam,12775,11764,42
05-04-2020,Bihar,3037,2299,32
05-04-2020,Bihar,3037,2299,32
08-04-2020,Bihar,4596,,38
09-04-2020,Bihar,4991,,43
10-04-2020,Bihar,5457,,60
11-04-2020,Bihar,6250,,61
12-04-2020,Bihar,6703,,64
13-04-2020,Bihar,7263,,65
14-04-2020,Bihar,7727,,62
15-04-2020,Bihar,8263,,66
16-04-2020,Bihar,8846,,72
17-04-2020,Bihar,9486,,83
18-04-2020,Bihar,10130,,85
19-04-2020,Bihar,10745,,92
20-04-2020,Bihar,11319,,96
21-04-2020,Bihar,11999,,115
22-04-2020,Bihar,12978,,136
23-04-2020,Bihar,13785,,148
24-04-2020,Bihar,14924,,176
25-04-2020,Bihar,15885,,238
26-04-2020,Bihar,17041,,255
27-04-2020,Bihar,18179,,328
28-04-2020,Bihar,19790,,346
29-04-2020,Bihar,21180,,383
30-04-2020,Bihar,22672,,409
01-05-2020,Bihar,24118,,466
02-05-2020,Bihar,25724,,476
03-05-2020,Bihar,26951,,485
04-05-2020,Bihar,28345,,525
05-05-2020,Bihar,29906,,529
02-04-2020,Chandigarh,124,98,18
08-04-2020,Chandigarh,184,162,18
10-04-2020,Chandigarh,223,199,19
11-04-2020,Chandigarh,264,223,19
12-04-2020,Chandigarh,279,247,21
13-04-2020,Chandigarh,296,263,21
14-04-2020,Chandigarh,309,285,21
15-04-2020,Chandigarh,317,293,21
16-04-2020,Chandigarh,337,315,21
17-04-2020,Chandigarh,358,335,21
18-04-2020,Chandigarh,381,348,23
19-04-2020,Chandigarh,430,388,26
20-04-2020,Chandigarh,453,417,26
21-04-2020,Chandigarh,497,445,27
22-04-2020,Chandigarh,529,492,27
23-04-2020,Chandigarh,599,557,27
24-04-2020,Chandigarh,638,603,27
25-04-2020,Chandigarh,734,668,28
26-04-2020,Chandigarh,756,677,30
27-04-2020,Chandigarh,843,777,40
28-04-2020,Chandigarh,924,857,56
29-04-2020,Chandigarh,1012,922,67
30-04-2020,Chandigarh,1147,1022,74
01-05-2020,Chandigarh,1252,1131,88
02-05-2020,Chandigarh,1462,1339,94
03-05-2020,Chandigarh,1616,1491,97
04-05-2020,Chandigarh,1678,1545,102
02-04-2020,Chhattisgarh,1232,921,9
10-04-2020,Chhattisgarh,3473,3322,18
11-04-2020,Chhattisgarh,3858,3503,18
12-04-2020,Chhattisgarh,3945,3856,31
13-04-2020,Chhattisgarh,4377,3969,31
14-04-2020,Chhattisgarh,4812,4319,33
15-04-2020,Chhattisgarh,5122,4878,33
16-04-2020,Chhattisgarh,5519,5168,33
17-04-2020,Chhattisgarh,5776,5484,36
18-04-2020,Chhattisgarh,5776,5484,36
19-04-2020,Chhattisgarh,6675,6086,36
20-04-2020,Chhattisgarh,7601,7029,36
21-04-2020,Chhattisgarh,8272,7555,36
22-04-2020,Chhattisgarh,9220,8296,36
23-04-2020,Chhattisgarh,10346,9206,36
24-04-2020,Chhattisgarh,11386,10213,36
25-04-2020,Chhattisgarh,12596,11168,37
26-04-2020,Chhattisgarh,13786,12406,37
27-04-2020,Chhattisgarh,14987,13882,37
28-04-2020,Chhattisgarh,15737,14953,38
29-04-2020,Chhattisgarh,16546,15658,38
30-04-2020,Chhattisgarh,17541,16602,40
01-05-2020,Chhattisgarh,18039,17199,43
03-05-2020,Chhattisgarh,19902,18848,57
01-04-2020,Delhi,2621,,
07-04-2020,Delhi,9041,7308,576
09-04-2020,Delhi,9968,8643,720
10-04-2020,Delhi,11061,9662,903
11-04-2020,Delhi,11709,10218,1069
12-04-2020,Delhi,14036,11748,1154
13-04-2020,Delhi,15032,12283,1510
14-04-2020,Delhi,16282,13748,1561
15-04-2020,Delhi,16605,13865,1578
16-04-2020,Delhi,18784,14692,1640
17-04-2020,Delhi,21409,16899,1707
18-04-2020,Delhi,22283,17449,1893
19-04-2020,Delhi,24387,19393,2003
20-04-2020,Delhi,25900,20712,2081
21-04-2020,Delhi,26627,21810,2156
22-04-2020,Delhi,28309,22713,2248
23-04-2020,Delhi,30560,24538,2375
24-04-2020,Delhi,33672,26552,2514
25-04-2020,Delhi,35519,28693,2625
26-04-2020,Delhi,37613,31919,2918
27-04-2020,Delhi,39911,34145,3108
28-04-2020,Delhi,43370,36195,3314
29-04-2020,Delhi,47225,39920,3439
02-05-2020,Delhi,58210,,4122
03-05-2020,Delhi,60246,,4549
04-05-2020,Delhi,64108,,4898
02-04-2020,Goa,220,197,5
09-04-2020,Goa,344,,7
10-04-2020,Goa,354,,7
12-04-2020,Goa,406,,7
13-04-2020,Goa,440,,7
14-04-2020,Goa,479,,7
15-04-2020,Goa,556,,7
16-04-2020,Goa,611,,7
17-04-2020,Goa,673,,7
18-04-2020,Goa,758,,7
19-04-2020,Goa,826,,7
20-04-2020,Goa,901,,7
21-04-2020,Goa,1004,,7
22-04-2020,Goa,1116,,7
23-04-2020,Goa,1206,,7
27-04-2020,Goa,1541,,7
28-04-2020,Goa,1776,,7
29-04-2020,Goa,1871,,7
30-04-2020,Goa,2031,,7
01-05-2020,Goa,2181,,7
02-05-2020,Goa,2372,,7
03-05-2020,Goa,2548,,7
04-05-2020,Goa,2899,,7
08-04-2020,Gujarat,4224,3905,186
10-04-2020,Gujarat,7718,7237,378
11-04-2020,Gujarat,9763,8888,468
12-04-2020,Gujarat,11715,10867,516
13-04-2020,Gujarat,14251,12970,572
14-04-2020,Gujarat,14980,14363,617
15-04-2020,Gujarat,19197,18431,766
16-04-2020,Gujarat,20903,19974,929
17-04-2020,Gujarat,23483,22339,1099
18-04-2020,Gujarat,26102,24726,1376
19-04-2020,Gujarat,29104,27361,1743
20-04-2020,Gujarat,33316,31377,1939
21-04-2020,Gujarat,36829,34651,2178
22-04-2020,Gujarat,39421,37014,2407
23-04-2020,Gujarat,42384,39760,2624
24-04-2020,Gujarat,46743,41007,2815
25-04-2020,Gujarat,48315,45254,3061
26-04-2020,Gujarat,51091,47790,3301
27-04-2020,Gujarat,53575,50028,3547
28-04-2020,Gujarat,56101,52327,3774
29-04-2020,Gujarat,59488,55406,4082
30-04-2020,Gujarat,64007,59612,4395
01-05-2020,Gujarat,68774,64053,4721
02-05-2020,Gujarat,74116,69062,5054
03-05-2020,Gujarat,80060,74632,5428
04-05-2020,Gujarat,84648,,5804
03-04-2020,Haryana,1325,938,44
07-04-2020,Haryana,2520,1821,141
08-04-2020,Haryana,2650,1885,153
09-04-2020,Haryana,2964,2017,156
10-04-2020,Haryana,3527,2447,162
11-04-2020,Haryana,3663,2472,165
12-04-2020,Haryana,3903,2513,181
13-04-2020,Haryana,4489,2961,182
14-04-2020,Haryana,5210,3681,184
15-04-2020,Haryana,7388,5581,190
16-04-2020,Haryana,8064,6465,214
17-04-2020,Haryana,8884,7148,223
18-04-2020,Haryana,10454,8093,232
19-04-2020,Haryana,12687,10230,250
20-04-2020,Haryana,13894,11523,251
21-04-2020,Haryana,14562,12253,255
22-04-2020,Haryana,15561,13397,264
23-04-2020,Haryana,17582,15452,270
24-04-2020,Haryana,18845,16642,275
25-04-2020,Haryana,20270,17787,287
26-04-2020,Haryana,21467,19241,296
27-04-2020,Haryana,22993,20702,301
28-04-2020,Haryana,24826,22578,308
29-04-2020,Haryana,26148,24071,311
30-04-2020,Haryana,28202,25929,339
01-05-2020,Haryana,30191,27784,357
02-05-2020,Haryana,31200,28867,369
03-05-2020,Haryana,35278,32583,442
04-05-2020,Haryana,38183,34501,517
10-04-2020,Himachal Pradesh,900,870,30
11-04-2020,Himachal Pradesh,900,870,30
12-04-2020,Himachal Pradesh,1113,944,32
13-04-2020,Himachal Pradesh,1210,1109,32
14-04-2020,Himachal Pradesh,1311,1232,32
15-04-2020,Himachal Pradesh,1426,1391,35
16-04-2020,Himachal Pradesh,1604,1559,35
17-04-2020,Himachal Pradesh,1992,1740,36
18-04-2020,Himachal Pradesh,2207,2091,39
19-04-2020,Himachal Pradesh,2553,2337,39
20-04-2020,Himachal Pradesh,2892,2714,39
21-04-2020,Himachal Pradesh,3341,2933,39
22-04-2020,Himachal Pradesh,3700,3510,39
23-04-2020,Himachal Pradesh,4020,3943,40
24-04-2020,Himachal Pradesh,4328,4160,40
25-04-2020,Himachal Pradesh,4623,4363,40
26-04-2020,Himachal Pradesh,4901,4794,40
27-04-2020,Himachal Pradesh,5106,5022,40
28-04-2020,Himachal Pradesh,5391,5344,40
29-04-2020,Himachal Pradesh,5772,5726,40
30-04-2020,Himachal Pradesh,6133,6091,40
01-05-2020,Himachal Pradesh,6472,6432,40
02-05-2020,Himachal Pradesh,6836,6791,40
03-05-2020,Himachal Pradesh,7185,7133,40
04-05-2020,Himachal Pradesh,7430,7320,41
05-05-2020,Himachal Pradesh,7898,7543,
05-04-2020,Jammu and Kashmir,1551,1429,106
10-04-2020,Jammu and Kashmir,2961,2754,207
11-04-2020,Jammu and Kashmir,3206,2982,224
12-04-2020,Jammu and Kashmir,3600,3355,245
13-04-2020,Jammu and Kashmir,4065,3795,270
14-04-2020,Jammu and Kashmir,4619,4341,278
15-04-2020,Jammu and Kashmir,5171,4871,300
16-04-2020,Jammu and Kashmir,5680,5366,314
17-04-2020,Jammu and Kashmir,6438,6110,328
18-04-2020,Jammu and Kashmir,6937,6596,341
19-04-2020,Jammu and Kashmir,7895,7545,350
20-04-2020,Jammu and Kashmir,8612,8244,368
21-04-2020,Jammu and Kashmir,9220,8840,380
22-04-2020,Jammu and Kashmir,10039,9632,407
23-04-2020,Jammu and Kashmir,10977,10550,427
24-04-2020,Jammu and Kashmir,11764,11310,454
25-04-2020,Jammu and Kashmir,12835,12341,494
26-04-2020,Jammu and Kashmir,13959,13436,523
27-04-2020,Jammu and Kashmir,14988,14442,546
28-04-2020,Jammu and Kashmir,16619,16054,565
29-04-2020,Jammu and Kashmir,18450,17869,581
30-04-2020,Jammu and Kashmir,19746,19132,614
01-05-2020,Jammu and Kashmir,21695,21056,639
02-05-2020,Jammu and Kashmir,23406,22794,666
03-05-2020,Jammu and Kashmir,26038,25337,701
04-05-2020,Jammu and Kashmir,28199,27473,726
10-04-2020,Jharkhand,1340,1326,14
11-04-2020,Jharkhand,1546,1529,17
12-04-2020,Jharkhand,1683,1666,17
13-04-2020,Jharkhand,1982,1963,19
14-04-2020,Jharkhand,2334,2307,27
17-04-2020,Jharkhand,3143,3111,32
18-04-2020,Jharkhand,3431,3398,33
19-04-2020,Jharkhand,3646,3608,38
20-04-2020,Jharkhand,4235,4190,45
22-04-2020,Jharkhand,5176,5127,49
23-04-2020,Jharkhand,5380,5327,53
24-04-2020,Jharkhand,6162,6105,57
25-04-2020,Jharkhand,6970,6903,67
26-04-2020,Jharkhand,7806,7724,82
27-04-2020,Jharkhand,8757,8654,103
28-04-2020,Jharkhand,9408,9303,105
29-04-2020,Jharkhand,10268,10161,107
30-04-2020,Jharkhand,10987,10878,109
01-05-2020,Jharkhand,11771,11658,113
02-05-2020,Jharkhand,12393,12278,115
03-05-2020,Jharkhand,13055,12940,115
04-05-2020,Jharkhand,13832,13717,115
03-04-2020,Karnataka,4587,4281,128
07-04-2020,Karnataka,6580,5942,175
08-04-2020,Karnataka,6967,6473,181
09-04-2020,Karnataka,7613,7176,197
10-04-2020,Karnataka,7975,7673,207
11-04-2020,Karnataka,8560,8231,215
12-04-2020,Karnataka,9251,8831,232
13-04-2020,Karnataka,10017,9572,247
14-04-2020,Karnataka,11107,10554,260
15-04-2020,Karnataka,12483,11905,279
16-04-2020,Karnataka,13724,13074,315
17-04-2020,Karnataka,17594,14606,359
18-04-2020,Karnataka,19186,15658,384
19-04-2020,Karnataka,21367,17662,390
20-04-2020,Karnataka,23460,19497,408
21-04-2020,Karnataka,26233,22222,418
22-04-2020,Karnataka,29512,25424,427
23-04-2020,Karnataka,32122,28174,445
24-04-2020,Karnataka,35958,31914,474
25-04-2020,Karnataka,39083,34888,500
26-04-2020,Karnataka,42964,38207,503
27-04-2020,Karnataka,45685,43791,512
28-04-2020,Karnataka,50512,48508,523
29-04-2020,Karnataka,55404,53241,535
30-04-2020,Karnataka,60156,57548,565
01-05-2020,Karnataka,64898,61855,589
02-05-2020,Karnataka,69730,66475,601
03-05-2020,Karnataka,74898,70998,614
04-05-2020,Karnataka,79193,74664,651
05-05-2020,Karnataka,83806,78860,673
01-04-2020,Kerala,7965,7256,265
02-04-2020,Kerala,8456,7622,286
03-04-2020,Kerala,9139,8126,295
04-02-2020,Kerala,9744,8586,306
05-04-2020,Kerala,10221,9300,314
06-04-2020,Kerala,10716,9607,327
07-04-2020,Kerala,11232,10250,336
08-04-2020,Kerala,11986,10906,354
09-04-2020,Kerala,12710,11469,258
09-04-2020,Kerala,12710,11469,357
10-04-2020,Kerala,13339,12335,364
11-04-2020,Kerala,14163,12818,373
12-04-2020,Kerala,14989,13802,375
13-04-2020,Kerala,15683,14829,378
14-04-2020,Kerala,16235,15488,386
15-04-2020,Kerala,16475,16002,387
16-04-2020,Kerala,17400,16459,394
17-04-2020,Kerala,18029,17279,395
18-04-2020,Kerala,18774,17763,399
19-04-2020,Kerala,19351,18547,401
20-04-2020,Kerala,19756,19074,408
21-04-2020,Kerala,20252,19442,426
22-04-2020,Kerala,20821,19998,437
23-04-2020,Kerala,21334,20326,447
24-04-2020,Kerala,21940,20830,450
25-04-2020,Kerala,22360,21475,457
26-04-2020,Kerala,22954,21997,468
27-04-2020,Kerala,23271,22537,481
28-04-2020,Kerala,23980,23277,485
29-04-2020,Kerala,24952,23880,495
30-04-2020,Kerala,25973,25135,497
01-05-2020,Kerala,27150,26225,497
02-05-2020,Kerala,31183,30358,499
03-05-2020,Kerala,32217,31611,499
04-05-2020,Kerala,33010,32315,499
13-04-2020,Ladakh,618,,17
14-04-2020,Ladakh,760,615,17
15-04-2020,Ladakh,820,657,18
16-04-2020,Ladakh,917,695,18
19-04-2020,Ladakh,991,797,18
21-04-2020,Ladakh,1137,896,18
29-04-2020,Ladakh,1949,1299,22
30-04-2020,Ladakh,2245,1384,22
01-05-2020,Ladakh,2430,1545,22
02-05-2020,Ladakh,2434,1618,23
03-05-2020,Ladakh,2434,1674,41
04-05-2020,Ladakh,2639,1879,41
05-04-2020,Madhya Pradesh,2812,1954,193
07-04-2020,Madhya Pradesh,3770,3125,290
08-04-2020,Madhya Pradesh,4056,3443,341
09-04-2020,Madhya Pradesh,5135,3989,411
10-04-2020,Madhya Pradesh,7049,4840,451
11-04-2020,Madhya Pradesh,8516,5790,529
12-04-2020,Madhya Pradesh,10481,6875,562
13-04-2020,Madhya Pradesh,10481,6875,614
14-04-2020,Madhya Pradesh,8105,7103,741
15-04-2020,Madhya Pradesh,9596,8658,938
16-04-2020,Madhya Pradesh,13492,12326,1164
17-04-2020,Madhya Pradesh,15302,13992,1310
18-04-2020,Madhya Pradesh,14978,13576,1402
19-04-2020,Madhya Pradesh,17835,16428,1407
20-04-2020,Madhya Pradesh,19142,17657,1485
21-04-2020,Madhya Pradesh,20905,19353,1552
22-04-2020,Madhya Pradesh,22664,21077,1587
23-04-2020,Madhya Pradesh,24548,22861,1687
24-04-2020,Madhya Pradesh,26233,24387,1846
25-04-2020,Madhya Pradesh,27866,25921,1945
26-04-2020,Madhya Pradesh,25232,21716,2090
27-04-2020,Madhya Pradesh,27009,23500,2165
28-04-2020,Madhya Pradesh,31060,26159,2387
29-04-2020,Madhya Pradesh,33837,29261,2560
30-04-2020,Madhya Pradesh,41712,29816,2625
01-05-2020,Madhya Pradesh,44116,39353,2715
02-05-2020,Madhya Pradesh,46578,41460,2788
03-05-2020,Madhya Pradesh,49186,43937,2837
04-05-2020,Madhya Pradesh,52095,46634,2942
05-04-2020,Maharashtra,16008,14837,
06-04-2020,Maharashtra,17563,15808,868
07-04-2020,Maharashtra,20877,19290,1018
09-04-2020,Maharashtra,20877,19290,868
10-04-2020,Maharashtra,30000,28865,1135
11-04-2020,Maharashtra,31841,30477,1761
12-04-2020,Maharashtra,35668,34094,1761
13-04-2020,Maharashtra,39725,37964,1996
14-04-2020,Maharashtra,41071,39089,2340
15-04-2020,Maharashtra,45142,42808,2690
16-04-2020,Maharashtra,50882,48198,2916
17-04-2020,Maharashtra,55678,52762,3204
18-04-2020,Maharashtra,60166,56964,3323
19-04-2020,Maharashtra,66796,63476,3651
20-04-2020,Maharashtra,71321,67673,4204
21-04-2020,Maharashtra,75838,71638,4676
22-04-2020,Maharashtra,82304,77638,5229
23-04-2020,Maharashtra,89197,83979,5218
24-04-2020,Maharashtra,95210,89561,6427
25-04-2020,Maharashtra,100912,94485,6817
26-04-2020,Maharashtra,107979,101162,7928
27-04-2020,Maharashtra,115147,107519,8068
28-04-2020,Maharashtra,120620,112552,8590
29-04-2020,Maharashtra,128726,120136,9318
30-04-2020,Maharashtra,135694,126376,9915
01-05-2020,Maharashtra,144159,134244,10498
02-05-2020,Maharashtra,151085,140587,11506
03-05-2020,Maharashtra,159754,148248,12296
04-05-2020,Maharashtra,168374,156078,12974
05-05-2020,Maharashtra,175323,162349,14541
16-02-2020,Meghalaya,552,299,7
17-04-2020,Meghalaya,617,541,9
18-04-2020,Meghalaya,738,667,11
19-04-2020,Meghalaya,766,678,11
20-04-2020,Meghalaya,838,714,11
21-04-2020,Meghalaya,933,821,12
22-04-2020,Meghalaya,1046,904,12
23-04-2020,Meghalaya,1109,1000,12
24-04-2020,Meghalaya,1130,1048,12
25-04-2020,Meghalaya,1169,1097,12
27-04-2020,Meghalaya,1254,1182,12
28-04-2020,Meghalaya,1382,1202,12
29-04-2020,Meghalaya,1397,1288,12
30-04-2020,Meghalaya,1595,1433,12
02-05-2020,Meghalaya,1707,1655,12
04-05-2020,Meghalaya,1884,1782,12
06-04-2020,Mizoram,58,0,1
07-04-2020,Mizoram,58,0,1
08-04-2020,Mizoram,74,,1
09-04-2020,Mizoram,84,,1
12-04-2020,Mizoram,87,,1
13-04-2020,Mizoram,89,,1
14-04-2020,Mizoram,91,,1
15-04-2020,Mizoram,94,,1
16-04-2020,Mizoram,94,,1
18-04-2020,Mizoram,102,,1
19-04-2020,Mizoram,116,,1
20-04-2020,Mizoram,132,,1
21-04-2020,Mizoram,135,,1
22-04-2020,Mizoram,135,,1
23-04-2020,Mizoram,137,,1
26-04-2020,Mizoram,146,,1
27-04-2020,Mizoram,146,,1
28-04-2020,Mizoram,158,,1
29-04-2020,Mizoram,179,,1
30-04-2020,Mizoram,180,,1
01-05-2020,Mizoram,180,,1
02-05-2020,Mizoram,183,,1
03-05-2020,Mizoram,183,,1
04-05-2020,Mizoram,183,,1
06-04-2020,Nagaland,60,47,0
10-04-2020,Nagaland,70,69,0
11-04-2020,Nagaland,70,70,0
12-04-2020,Nagaland,74,70,0
14-04-2020,Nagaland,174,97,0
15-04-2020,Nagaland,184,174,0
17-04-2020,Nagaland,274,222,0
18-04-2020,Nagaland,392,292,0
19-04-2020,Nagaland,404,345,0
20-04-2020,Nagaland,434,404,0
21-04-2020,Nagaland,537,456,0
22-04-2020,Nagaland,543,481,0
23-04-2020,Nagaland,607,543,0
25-04-2020,Nagaland,613,607,0
26-04-2020,Nagaland,613,613,0
27-04-2020,Nagaland,629,613,0
28-04-2020,Nagaland,639,620,0
29-04-2020,Nagaland,644,631,0
30-04-2020,Nagaland,653,640,0
01-05-2020,Nagaland,664,650,0
02-05-2020,Nagaland,674,661,0
03-05-2020,Nagaland,684,663,0
04-05-2020,Nagaland,708,679,0
03-04-2020,Odisha,1395,1108,20
07-04-2020,Odisha,2190,,40
07-04-2020,Odisha,2441,,42
08-04-2020,Odisha,2441,2399,42
09-04-2020,Odisha,3249,3201,48
10-04-2020,Odisha,3547,3497,50
11-04-2020,Odisha,3551,3497,51
12-04-2020,Odisha,3862,3808,54
13-04-2020,Odisha,4170,4116,54
14-04-2020,Odisha,4734,4678,56
15-04-2020,Odisha,5537,5477,60
16-04-2020,Odisha,6734,6674,60
17-04-2020,Odisha,7577,7517,60
18-04-2020,Odisha,8619,8559,60
19-04-2020,Odisha,9690,9629,61
20-04-2020,Odisha,10641,,68
21-04-2020,Odisha,11748,,79
22-04-2020,Odisha,13775,,83
23-04-2020,Odisha,15984,,89
24-04-2020,Odisha,18458,,94
25-04-2020,Odisha,20599,,94
26-04-2020,Odisha,22816,,103
27-04-2020,Odisha,25103,,111
28-04-2020,Odisha,26687,,118
29-04-2020,Odisha,29108,,122
30-04-2020,Odisha,31696,,142
01-05-2020,Odisha,34133,,149
02-05-2020,Odisha,36593,,157
03-05-2020,Odisha,38658,,162
04-05-2020,Odisha,41128,,169
05-05-2020,Odisha,44663,,170
18-04-2020,Puducherry,1207,1159,7
19-04-2020,Puducherry,1245,1214,7
20-04-2020,Puducherry,1272,1232,7
21-04-2020,Puducherry,1319,1272,7
22-04-2020,Puducherry,1473,1354,7
23-04-2020,Puducherry,1548,1513,7
24-04-2020,Puducherry,1704,1657,7
25-04-2020,Puducherry,1864,1793,8
26-04-2020,Puducherry,1977,1902,8
27-04-2020,Puducherry,2014,1942,8
28-04-2020,Puducherry,2156,2099,8
29-04-2020,Puducherry,2228,2150,8
30-04-2020,Puducherry,2353,2292,8
01-05-2020,Puducherry,2698,2583,9
02-05-2020,Puducherry,2990,2902,12
03-05-2020,Puducherry,3155,3097,12
04-05-2020,Puducherry,3281,3220,12
02-04-2020,Punjab,1434,1236,37
08-04-2020,Punjab,2937,2614,106
09-04-2020,Punjab,3192,2777,130
10-04-2020,Punjab,3461,2972,151
11-04-2020,Punjab,3909,3249,158
12-04-2020,Punjab,4281,3590,170
13-04-2020,Punjab,4480,3858,176
14-04-2020,Punjab,4844,4047,184
15-04-2020,Punjab,5193,4404,186
16-04-2020,Punjab,5524,4727,197
17-04-2020,Punjab,5988,5113,211
18-04-2020,Punjab,6167,5354,234
19-04-2020,Punjab,6607,5949,244
20-04-2020,Punjab,6797,6273,245
21-04-2020,Punjab,7355,6769,251
22-04-2020,Punjab,7887,7100,257
23-04-2020,Punjab,8757,7433,283
24-04-2020,Punjab,10611,8310,298
25-04-2020,Punjab,13270,9392,308
26-04-2020,Punjab,14317,10497,322
27-04-2020,Punjab,15516,12333,330
28-04-2020,Punjab,17021,13966,342
29-04-2020,Punjab,18670,15690,375
30-04-2020,Punjab,21205,17286,480
01-05-2020,Punjab,23176,18222,585
02-05-2020,Punjab,24868,19316,772
03-05-2020,Punjab,26439,20197,1102
04-05-2020,Punjab,28545,21295,1232
05-05-2020,Punjab,30199,23352,1451
05-04-2020,Rajasthan,12279,11439,260
07-04-2020,Rajasthan,17638,16401,363
08-04-2020,Rajasthan,17638,16401,363
09-04-2020,Rajasthan,19107,17851,463
10-04-2020,Rajasthan,22349,20698,561
11-04-2020,Rajasthan,24857,22583,678
12-04-2020,Rajasthan,28505,25105,796
13-04-2020,Rajasthan,31804,28657,847
14-04-2020,Rajasthan,34928,29376,1005
15-04-2020,Rajasthan,37860,31902,1076
16-04-2020,Rajasthan,40778,33739,1101
17-04-2020,Rajasthan,42847,36153,1229
18-04-2020,Rajasthan,47197,39092,1282
19-04-2020,Rajasthan,51614,43537,1478
20-04-2020,Rajasthan,57290,47657,1576
21-04-2020,Rajasthan,61492,54100,1735
22-04-2020,Rajasthan,66257,58552,1888
23-04-2020,Rajasthan,69764,63485,1964
24-04-2020,Rajasthan,74484,68133,2034
25-04-2020,Rajasthan,78993,71806,2083
26-04-2020,Rajasthan,82942,75670,2185
27-04-2020,Rajasthan,87777,80830,2262
28-04-2020,Rajasthan,92506,85834,2364
29-04-2020,Rajasthan,97790,90108,2438
30-04-2020,Rajasthan,103704,,2584
01-05-2020,Rajasthan,108543,100277,2666
02-05-2020,Rajasthan,113934,104705,2720
03-05-2020,Rajasthan,120240,112345,2886
04-05-2020,Rajasthan,129258,122513,3061
05-05-2020,Rajasthan,134987,128297,3127
04-05-2020,Sikkim,170,169,0
03-04-2020,Tamil Nadu,3684,2789,411
08-04-2020,Tamil Nadu,5305,4414,690
09-04-2020,Tamil Nadu,7267,5824,834
10-04-2020,Tamil Nadu,8410,6838,911
11-04-2020,Tamil Nadu,9842,7779,969
12-04-2020,Tamil Nadu,10655,,1075
13-04-2020,Tamil Nadu,12746,,1173
14-04-2020,Tamil Nadu,19255,13234,1204
15-04-2020,Tamil Nadu,21994,15210,1242
16-04-2020,Tamil Nadu,26005,18743,1267
17-04-2020,Tamil Nadu,29673,21628,1323
18-04-2020,Tamil Nadu,35036,27192,1372
19-04-2020,Tamil Nadu,40876,31853,1477
20-04-2020,Tamil Nadu,46985,38082,1520
21-04-2020,Tamil Nadu,53045,43582,1596
22-04-2020,Tamil Nadu,59023,49506,1629
23-04-2020,Tamil Nadu,65977,56836,1683
24-04-2020,Tamil Nadu,72403,62596,1755
